Episode,Reward,Steps,Epsilon,RouteLength(m),Delay(s)
538,-107,8,0.01,0,0.0
539,-105,6,0.01,0,0.0
540,-102,3,0.01,0,0.0
541,-106,7,0.01,0,0.0
542,-103,4,0.01,0,0.0
543,-7,7,0.01,0,0.0
544,-107,8,0.01,0,0.0
545,-112,13,0.01,0,0.0
546,-109,10,0.01,0,0.0
547,-100,1,0.01,0,0.0
548,-66,66,0.01,0,0.0
549,-102,3,0.01,0,0.0
550,-104,5,0.01,0,0.0
551,-112,13,0.01,0,0.0
552,-104,5,0.01,0,0.0
553,-111,12,0.01,0,0.0
554,-119,20,0.01,0,0.0
555,-109,10,0.01,0,0.0
556,-109,10,0.01,0,0.0
557,-106,7,0.01,0,0.0
558,-106,7,0.01,0,0.0
559,-4,4,0.01,0,0.0
560,-104,5,0.01,0,0.0
561,-102,3,0.01,0,0.0
562,-108,9,0.01,0,0.0
563,-13,13,0.01,0,0.0
564,-108,9,0.01,0,0.0
565,-8,8,0.01,0,0.0
566,-11,11,0.01,0,0.0
567,-12,12,0.01,0,0.0
568,-110,11,0.01,0,0.0
569,-113,14,0.01,0,0.0
570,-104,5,0.01,0,0.0
571,-1,1,0.01,0,0.0
572,-109,10,0.01,0,0.0
573,-111,12,0.01,0,0.0
574,-108,9,0.01,0,0.0
575,-100,1,0.01,0,0.0
576,-16,16,0.01,0,0.0
577,-1,1,0.01,0,0.0
578,-100,1,0.01,0,0.0
579,-100,1,0.01,0,0.0
580,-14,14,0.01,0,0.0
581,-104,5,0.01,0,0.0
582,-120,21,0.01,0,0.0
583,-17,17,0.01,0,0.0
584,-111,12,0.01,0,0.0
585,-104,5,0.01,0,0.0
586,-105,6,0.01,0,0.0
587,-106,7,0.01,0,0.0
588,-8,8,0.01,0,0.0
589,-103,4,0.01,0,0.0
590,-6,6,0.01,0,0.0
591,-109,10,0.01,0,0.0
592,-17,17,0.01,0,0.0
593,-100,1,0.01,0,0.0
594,-108,9,0.01,0,0.0
595,-105,6,0.01,0,0.0
596,-110,11,0.01,0,0.0
597,-108,9,0.01,0,0.0
598,-10,10,0.01,0,0.0
599,-103,4,0.01,0,0.0
600,-111,12,0.01,0,0.0
601,-118,19,0.01,0,0.0
602,-7,7,0.01,0,0.0
603,-141,42,0.01,0,0.0
