episode,map_name,start_edge,goal_edge,success,total_time,route_length,total_distance,final_edge,num_steps,arrival_success,heuristic_used,total_nodes_expanded,max_frontier_size,final_heuristic_cost,final_total_cost,search_depth,num_edges_visited
82,ChandniChowk,-44141435#5,320348726#0,1,117.0,8,666.8,-48533140,117,True,straight_line,36,11,0.0,666.8,8,45
83,ChandniChowk,-423608341,-264592548#8,1,117.0,21,757.2400000000001,-48533140,117,True,straight_line,62,22,0.0,757.2400000000001,21,83
84,ChandniChowk,80940694#0,253134120#2,1,117.0,20,906.04,-48533140,117,True,straight_line,95,28,0.0,906.04,20,122
85,ChandniChowk,1076266783#0,48533127#0,1,117.0,22,1028.9500000000003,-48533140,117,True,straight_line,27,22,0.0,1028.9500000000003,22,47
86,ChandniChowk,48533153#4,-320348717#10,1,117.0,26,1069.3899999999999,-48533140,117,True,straight_line,73,29,0.0,1069.3899999999999,26,100
87,ChandniChowk,-169826205#3,-82946139#1,1,117.0,29,1158.2900000000002,-48533140,117,True,straight_line,84,32,0.0,1158.2900000000002,29,115
88,ChandniChowk,-82946100#1,1076057774,1,117.0,26,1446.79,-48533140,117,True,straight_line,92,34,0.0,1446.79,26,125
89,ChandniChowk,44141517#2,360271994#0,1,117.0,24,1006.08,-48533140,117,True,straight_line,104,32,0.0,1006.08,24,131
90,ChandniChowk,82946119#4,-169826220#0,1,117.0,15,876.71,-48533140,117,True,straight_line,43,18,0.0,876.71,15,59
91,ChandniChowk,-798855531#2,-693912721#0,1,117.0,15,531.8299999999999,-48533140,117,True,straight_line,38,20,0.0,531.8299999999999,15,58
92,ChandniChowk,696306283#1,-44141545#10,1,117.0,12,368.0700000000001,-48533140,117,True,straight_line,14,11,0.0,368.0700000000001,12,23
93,ChandniChowk,-320348716#1,1070560845#0,1,117.0,12,895.68,-48533140,117,True,straight_line,17,10,0.0,895.68,12,25
94,ChandniChowk,-82946096#3,-48532953#1,1,117.0,33,783.2500000000002,-48533140,117,True,straight_line,48,35,0.0,783.2500000000002,33,82
95,ChandniChowk,-44141529#1,798855524#2,1,117.0,20,906.51,-48533140,117,True,straight_line,23,24,0.0,906.51,20,46
96,ChandniChowk,1041351325,720102664#1,1,117.0,22,1465.7099999999998,-48533140,117,True,straight_line,146,43,0.0,1465.7099999999998,22,189
97,ChandniChowk,169826205#4,-1080170955,1,117.0,6,507.24999999999994,-48533140,117,True,straight_line,8,10,0.0,507.24999999999994,6,16
98,ChandniChowk,991702391#6,693912717#0,1,117.0,11,641.93,-48533140,117,True,straight_line,14,14,0.0,641.93,11,26
